,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
173,08,3,21,2,Social,0.0,0.0,0.555,1.0
174,08,3,31,3,Spiders,0.836,0.171,0.538,0.124
175,08,3,1,1,Heights,0.0,0.212,0.763,0.441
176,08,3,10,1,Heights,0.0,0.0,1.0,1.0
177,08,3,22,2,Social,0.0,0.0,1.0,1.0
178,08,3,13,2,Social,0.0,0.0,0.786,1.0
179,08,3,14,2,Social,0.0,0.717,1.0,0.0
180,09,1,5,1,Heights,0.777,0.885,0.885,0.0
181,09,1,10,1,Heights,0.94,0.633,0.576,0.137
182,09,1,28,3,Spiders,0.072,0.056,0.061,0.426
183,09,1,35,3,Spiders,0.08,0.048,0.633,0.361
184,09,1,30,3,Spiders,0.051,0.582,0.654,0.033
185,09,1,17,2,Social,0.204,0.064,0.499,0.721
186,09,1,12,1,Heights,0.825,0.838,0.864,0.0
187,09,1,1,1,Heights,0.903,1.0,1.0,0.0
188,09,1,24,2,Social,0.134,0.0,0.628,0.854
189,09,1,18,2,Social,0.0,0.6,0.444,0.137
190,09,1,22,2,Social,0.176,0.0,0.2,0.633
191,09,1,31,3,Spiders,0.254,0.07,0.074,0.358
192,09,2,13,2,Social,0.062,0.0,0.738,0.792
193,09,2,2,1,Heights,0.833,1.0,0.93,0.0
194,09,2,8,1,Heights,0.94,0.124,0.358,0.725
195,09,2,6,1,Heights,0.881,0.937,0.841,0.0
196,09,2,26,3,Spiders,0.143,0.101,0.256,0.378
197,09,2,19,2,Social,0.108,0.0,0.096,0.63
198,09,2,16,2,Social,0.064,0.852,0.854,0.0
199,09,2,23,2,Social,0.299,0.0,0.104,0.855
200,09,2,11,1,Heights,0.925,0.579,0.738,0.241
201,09,2,29,3,Spiders,0.08,0.6,0.605,0.059
202,09,2,32,3,Spiders,0.233,0.181,0.587,0.116
203,09,2,36,3,Spiders,0.197,0.288,0.246,0.161
204,09,3,20,2,Social,0.189,0.538,0.532,0.355
205,09,3,14,2,Social,0.26,0.745,0.891,0.0
206,09,3,15,2,Social,0.499,0.015,0.433,0.499
